Property Name,City,Floor,Room #,Room Type,Bedspaces,# of washroom,"Monthly Rent
(Per Bedspace)",Monthly rent (For entire Unit),"Tenant 
Demography",Bed 1,Bed 2,Bed 3,Bed 4,Furnished,Utilities,Move in Date,Payment terms,Available Tenancies,Media Link,Key Features
"ASGARD,NEW WESTFIELDS, NORTH CIRCULAR ROAD, LIMERICK, V94 T4CW",,Ground,2,Double Non ensuite,2,,€725,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"ASGARD,NEW WESTFIELDS, NORTH CIRCULAR ROAD, LIMERICK, V94 T4CW",,First,3,Triple (single bed),3,1 Communal Washroom,€550,,Male,Booked,Booked,Booked,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"ASGARD,NEW WESTFIELDS, NORTH CIRCULAR ROAD, LIMERICK, V94 T4CW",,First,4,Double Non ensuite,2,,€725,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"ASGARD,NEW WESTFIELDS, NORTH CIRCULAR ROAD, LIMERICK, V94 T4CW",,First,5,Single Non ensuite,1,,€900,,Male,Booked,NA,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"Beechwood Court
Stillorgan, Dublin A94 X1PR",Dublin,First,1,Double Ensuite,2,1 Ensuite Washroom,€800,,Female,Booked,Booked,NA,NA,Yes,"Excl Bills 
(Bills to be charged on actuals)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,Media Link,"- Spacious 4-bed penthouse with 1 double ensuite, 1 double room and 2 triple rooms
- Three communal washrooms and a bright, modern living space
- Located in Stillorgan, a premium, mature and safe South Dublin suburb
- Well-known for greenery, strong infrastructure and student-friendly convenience
- Frequent bus routes (incl. 46A) offer fast, reliable access to the city
- LUAS Green Line (Sandyford) reachable in 6-8 mins by car or a 20-25 min walk
- Commute times:
UCD Belfield: 12-15 mins by bus
DBS / NCI: 40-45 mins"
"Beechwood Court
Stillorgan, Dublin A94 X1PR",,First,2,Double Non Ensuite,2,3 Communal washrooms,€700,,Male,Booked,Booked,NA,NA,Yes,"Excl Bills 
(Bills to be charged on actuals)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"Beechwood Court
Stillorgan, Dublin A94 X1PR",,Second,3,Triple Sharing,3,,€600,,Male,Booked,Booked,Booked,NA,Yes,"Excl Bills 
(Bills to be charged on actuals)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"Beechwood Court
Stillorgan, Dublin A94 X1PR",,Second,4,Triple Sharing,3,,€600,,Female,Booked,Booked,Booked,NA,Yes,"Excl Bills 
(Bills to be charged on actuals)",5th January'27,1 month rent as deposit + First & Last months rent,12 months,,
"16 Emmet Lodge, Emmet Court, Dublin 8 D08 EY83",Dublin,Ground,1,Big Double Non Ensuite,2,1 Communal Washroom,€800,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,Media Link,"- A well-presented apartment situated within the sought-after gated development of Emmet Court, nestled in the heart of Inchicore — one of Dublin's most vibrant and up-and-coming neighbourhoods, recently recognised by Time Out as one of the Coolest Neighbourhoods on the Planet.
- Set beside the scenic Grand Canal, with easy access to the Grand Canal towpath, the Irish War Memorial Gardens, Phoenix Park, and a thriving local scene of independent cafés, restaurants, and amenities in Inchicore Village — including Lidl and SuperValu within walking distance.
- A short stroll from the Drimnagh LUAS stop (Red Line), offering fast, direct connections into Dublin City Centre, Heuston Station, and beyond.

Transport & Connectivity

LUAS Red Line (Drimnagh stop): ~2 min walk
Dublin City Centre (via LUAS): ~18–22 mins
Heuston Station (via LUAS): ~10 mins
Bus Routes: 13, 40, 51, 68, 69, 78, 79 — multiple stops within short walking distance
M50 Motorway: ~5 min drive

Travel Times to Universities
Trinity College Dublin (TCD) — ~25 mins via LUAS + walk
NCAD (Thomas Street) — ~15 mins via bus or 20 min walk
TU Dublin (City Campus, Grangegorman) — ~30 mins via LUAS + bus
TU Dublin (Tallaght) — ~25 min drive / ~40 mins via bus
UCD Belfield — ~35–40 mins via bus"
"16 Emmet Lodge, Emmet Court, Dublin 8 D08 EY83",,Ground,2,Double Non Ensuite,2,,€750,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"53 Slade Castle Avenue, Saggart, Co. Dublin - D24 N279",Dublin,,1,Double - Ensuite,2,2 Washroom,€675,,Female,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,Media Link,"53 Slade Castle Avenue, Saggart, Co. Dublin — D24 N279

- A well-presented property situated in the sought-after Slade Castle development, right in the heart of Saggart Village — a charming and rapidly growing community offering a fantastic blend of village atmosphere and modern convenience.
- A short stroll from a wide range of local amenities including shops, cafés, bars, restaurants, creches, and schools. The nearby Citywest Shopping Centre and Citywest Business Campus add further convenience, while recreational facilities including golf clubs, gyms, Rathcoole Park, and scenic walking trails are all easily accessible.
- Outstanding transport connectivity with the Saggart Luas stop (Red Line) just minutes away, offering regular, direct tram services into Dublin City Centre. For drivers, the N7, N81, and M50 road networks are right on the doorstep.

Transport & Connectivity

LUAS Red Line (Saggart Stop): ~5 min walk
Dublin City Centre (Abbey Street) via LUAS: ~38–42 mins
Heuston Station via LUAS: ~30 mins
Citywest & Fortunestown (adjacent stops): 1–2 mins by tram
Bus Routes: multiple services along the N7 corridor
M50 / N7 Motorway: ~5 min drive
Dublin Airport: ~20 min drive

Travel Times to Universities

TU Dublin (Tallaght Campus) — ~10 mins via LUAS (Cookstown stop)
TU Dublin (Grangegorman) — ~45 mins via LUAS to Smithfield
UCD Belfield — ~35 min drive / ~55 mins via LUAS + bus
TCD (Trinity College Dublin) — ~45 mins via LUAS to city centre + walk
NCAD (Thomas Street) — ~40 mins via LUAS to James's stop"
"53 Slade Castle Avenue, Saggart, Co. Dublin - D24 N279",,,2,Triple,3,,€600,,Male,Booked,Available (SEM STAY),Available (SEM STAY),NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,4 months,,
"Tandys Drive, Adamstown, Lucan K78C5T9",Dublin,,1,Ensuite Double,2,1 ensuite washroom,€650,,,Available (ON HOLD),Available (ON HOLD),NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,Semester stays & 12 months,Media Link,"- A modern, recently completed family home in the well-planned Adamstown development — a thoughtfully designed residential community in west Dublin with excellent infrastructure, green spaces, and family-friendly amenities.
- Featuring an A2 BER rating for outstanding energy efficiency (low utility bills for tenants), with a private garden, off-street parking, and fully furnished throughout. The property includes 4 bedrooms across the ground and first floors, with multiple bathrooms and a downstairs WC for convenience.
- Adamstown is one of Dublin's most accessible western suburbs, with a dedicated rail station offering direct services into Heuston Station and Grand Canal Dock. The Liffey Valley Shopping Centre, Adamstown Educate Together schools, SuperValu, cafés, and the Tesco Adamstown are all within walking distance.

Transport & Connectivity
Adamstown Rail Station: ~9 min walk
Bus Stop (multiple routes): ~5 min walk
Dublin City Centre (Heuston) via train: ~18 mins
Grand Canal Dock via train: ~38 mins (direct)
N4 / M50 Motorway: ~5 min drive
Dublin Airport: ~30 min drive


Travel Times to Universities
TU Dublin (Tallaght) — ~25–35 mins via direct bus
TU Dublin (Blanchardstown) — ~30–40 mins via direct bus
Maynooth University — ~24 mins via direct train (Adamstown → Maynooth line)
TU Dublin (Grangegorman) — ~40–50 mins via train + LUAS
TCD (Trinity College Dublin) — ~40 mins via train to Grand Canal Dock + walk
UCD Belfield — ~45–55 mins via direct bus (Route C3)
NCI / DBS / RCSI — ~45 mins via train to Grand Canal Dock + walk/LUAS
Griffith College — ~35 mins via train + bus"
"Tandys Drive, Adamstown, Lucan K78C5T10",Dublin,,2,Double Non Ensuite,2,1 full bathroom + 1 downstairs WC,€625,,,Available (ON HOLD),Available (ON HOLD),NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,Semester stays & 12 months,,
"Tandys Drive, Adamstown, Lucan K78C5T11",Dublin,,3,Double Non Ensuite,2,,€625,,,Available (ON HOLD),Available (ON HOLD),NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,Semester stays & 12 months,,
"Tandys Drive, Adamstown, Lucan K78C5T12",Dublin,,4,Single,1,,€850,,,Available (ON HOLD),,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,Semester stays & 12 months,,
City Centre / O’Curry Street - V94 N9WK,Limerick,First,1,Ensuite Double,2,1 ensuite washroom,€700,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,Media Link,"- A spacious 4-bedroom house in Mountkennet, a quiet residential pocket of Limerick city's west end, just steps from the River Shannon and the historic Dock Road area.
- Each bedroom is en-suite, offering excellent privacy and independence for all tenants. Fully furnished throughout with modern fittings and energy-efficient utilities.
- Located within walking distance of Limerick's main shopping streets (William Street, O'Connell Street), the iconic Hunt Museum, King John's Castle, and the Crescent Shopping Centre. Excellent café and pub culture, with the Milk Market and Limerick Riverwalk just minutes away.

Transport & Connectivity
Limerick City Bus (multiple routes): ~3 min walk
Colbert Station (rail/bus): ~15 min walk / ~5 min drive
M7 / M20 Motorway: ~5 min drive
Limerick City Centre (O'Connell Street): ~10 min walk
Shannon Airport: ~25 min drive


Travel Times to Universities
TUS Moylish (Tech University of the Shannon) — ~12–15 mins via bus / ~10 min drive
Mary Immaculate College — ~10 mins via bus / ~5 min walk for proximity
LSAD / TUS Clare Street — ~15 mins via bus / ~10 min walk
University of Limerick (Castletroy) — ~30–40 mins via direct bus (Routes 304, 304A)"
City Centre / O’Curry Street - V94 N9WK,,First,2,Ensuite Double,2,1 ensuite washroom,€700,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
City Centre / O’Curry Street - V94 N9WK,,First,3,Ensuite Double,2,1 ensuite washroom,€700,,Female,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
City Centre / O’Curry Street - V94 N9WK,,First,4,Ensuite Double,2,1 ensuite washroom,€700,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
55 Mountjoy Square D01 DY79,Dublin,,1,Double non ensuite,2,1 communal washroom,€675,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,Media Link,"- A character apartment located on the historic Mountjoy Square, one of Dublin's iconic Georgian squares in the heart of the north inner city.
- Beautifully positioned within minutes of O'Connell Street, the IFSC, Croke Park, and the Bord Gáis Energy Theatre. The area combines Georgian architecture with vibrant modern Dublin life, surrounded by cafés, restaurants, supermarkets (Aldi, Lidl, Dunnes), and excellent transport links.
- Walking distance to Trinity College, the National College of Ireland (NCI), and TU Dublin Bolton Street — making it an exceptional location for students at any of Dublin's central universities.

Transport & Connectivity
LUAS Green Line (Marlborough Stop): ~8 min walk
LUAS Red Line (Connolly): ~10 min walk
DART (Connolly Station): ~10 min walk
Dublin Bus (multiple routes): ~2 min walk
Dublin City Centre (O'Connell Street): ~6 min walk
Dublin Airport: ~25 min drive


Travel Times to Universities
NCI (IFSC) — ~11 min walk (~900m)
TU Dublin (Bolton Street) — ~12 min walk (~1 km)
TCD (Trinity College Dublin) — ~13 min walk (~1.3 km)
RCSI (St. Stephen's Green) — ~22 min walk / ~10 mins via LUAS Green
DBS (Aungier Street) — ~19 min walk / ~12 mins via LUAS
TU Dublin (Grangegorman) — ~22 min walk / ~12 mins via LUAS Red
TU Dublin (Aungier Street) — ~19 min walk
Griffith College — ~25–30 mins via bus
DCU — ~25–35 mins via bus"
55 Mountjoy Square D01 DY79,,,2,Quad non ensuite,4,,€600,,Male,Booked,Booked,Booked,Booked,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
23 Belveder Avenue D01,Dublin,,1,Shared apartment,2,1 communal washroom,€1200,2300,,Available (ON HOLD),Available,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First months rent,Semester stays & 12 months,Media Link,"A bright, well-positioned apartment on Belvedere Avenue in the heart of Dublin's historic north inner city, just off Mountjoy Square. Sitting in one of Dublin's most central student catchments with exceptional walkability to the city centre.
The unit is being offered as a premium twin-share with a private bedroom for two sharers and a fully separate living/kitchen space — a real, residential apartment rather than a converted bedsit. Fully furnished and ready to move in.
Surrounded by independent cafés, restaurants, traditional Dublin pubs, and supermarkets. Walking distance to Croke Park, the GPO Museum, the Spire on O'Connell Street, and the IFSC corporate district.
Strong choice for international postgraduate students at NCI, Trinity, TU Bolton Street, or TU Aungier Street who want a genuine residential setup over a PBSA or hostel environment.

Transport & Connectivity

LUAS Green Line (Marlborough Stop): ~7 min walk
LUAS Red Line (Connolly): ~10 min walk
DART (Connolly Station): ~10 min walk
Dublin Bus (multiple routes): ~2 min walk
Dublin City Centre (O'Connell Street): ~7 min walk
Dublin Airport: ~25 min drive
Travel Times to Universities
NCI (IFSC) — ~11 min walk (~900m)
TU Dublin (Bolton Street) — ~12 min walk (~1 km)
Trinity College Dublin — ~15 min walk (~1.3 km)
TU Dublin (Aungier Street) — ~19 min walk
TU Dublin (Grangegorman) — ~22 min walk / ~12 mins via LUAS Red
DBS (Aungier Street) — ~19 min walk
RCSI (St Stephen's Green) — ~22 min walk"
1a Brookfield Artane Dublin 5 - D05E7Y0,Dublin,1,1,Double non ensuite,2,2 communal washroom,€625,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,Media Link,"- A property situated in the highly sought-after Brookfield estate in the heart of Artane — a mature, safe, and well-established residential neighbourhood in Dublin's Northside, popular with families, professionals, and students alike.
- Surrounded by an excellent range of amenities including Artane Castle Shopping Centre (Tesco, Penneys, cafés, and restaurants), local shops along the - Malahide Road, Beaumont Hospital, and a wealth of green spaces including St. Anne's Park, Rockfield Park, and Dollymount Strand within easy reach.
- Superbly connected with DART stations at Killester and Harmonstown both approximately 10–15 mins walk away, providing fast access into Dublin City Centre in just 10 minutes. Numerous Dublin Bus routes (including 27, 27B, 42, 43, 104, and 128) serve the area, and the M50 motorway is easily accessible by car.

Transport & Connectivity
DART (Killester Station): ~10–12 min walk
DART (Harmonstown Station): ~12–15 min walk
Dublin City Centre (Connolly) via DART: ~10 mins
Bus Routes: 27, 27B, 42, 43, 104, 128 — multiple stops within walking distance
M50 Motorway: ~5 min drive
Dublin Airport: ~15 min drive

Travel Times to Universities
DCU (Glasnevin) — ~20 mins via bus (104/N4 from Killester)
DCU (All Hallows / St Patrick's) — ~25 mins via bus
Trinity College Dublin (TCD) — ~20 mins via DART to Pearse Station
TU Dublin (Grangegorman) — ~30 mins via DART + Luas/bus
UCD Belfield — ~40 mins via DART + bus
NCAD (Thomas Street) — ~35 mins via bus/DART + Luas"
1a Brookfield Artane Dublin 5 - D05E7Y0,,1,2,Double non ensuite,2,,€625,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
1a Brookfield Artane Dublin 5 - D05E7Y0,,1,3,Double non ensuite,2,,€625,,Female,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
1a Brookfield Artane Dublin 5 - D05E7Y0,,2,4,Ensuite Double,2,1 Ensuite Washroom,€750,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills needs to be Incl)",1 Sept 2026,1 month rent as deposit + First & Last months rent,12 months,,
"13 Grangemore Drive, Dublin 13, D13 H9TX",Dublin,Ground,1,Double Ensuite,2,1 Ensuite Washroom,€750,,Female,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,Media link,"This substantial eight-bedroom property offers an exceptional standard of shared living accommodation, featuring six dual occupancy rooms, one triple room, and one single room — all of which benefit from their own private ensuites. Each room is thoughtfully furnished with comfortable beds, quality mattresses, ample wardrobe storage, and study desks, creating well-appointed personal spaces designed around the needs of modern student life.

The property is fully equipped with all the essentials for comfortable day-to-day living. The kitchen boasts a full suite of integrated appliances including an oven, hob, microwave, dishwasher, and fridge/freezer, while a separate utility area houses a washing machine for residents' convenience. High-speed Wi-Fi is available throughout, with multi-point routers ensuring a strong and reliable signal in every room. For peace of mind, the property is fitted with a full fire safety system including smoke alarms and emergency lighting.

Residents can enjoy the large communal living area, which provides a perfect space to relax and socialise. With its widescreen TV, comfortable seating, and dining area, it forms the social hub of the home. Ample bike storage and car parking are available on-site, with the extensive rear garden offering a pleasant green space for outdoor gatherings during the warmer months.

Area & Lifestyle
Located in the mature residential suburb of Donaghmede, Grangemore Drive benefits from a peaceful, friendly neighbourhood feel whilst remaining within easy reach of the city centre. An excellent selection of local amenities are just minutes away, including supermarkets, cafés, pharmacies, and Donaghmede Shopping Centre. Fr. Collins Park, a beautiful 52-acre public park with a promenade, sports pitches, and a skate park, is a short stroll from the property, offering green space and recreational facilities right on the doorstep.

Transport & University Access
Dublin Bus routes 15, 27, 27a, 27b, 42, 43 all serve stops within walking distance
Clongriffin DART Station: 25-minute walk / 7-minute cycle
Grange Road: 5-minute walk, major thoroughfare with multiple bus routes to city centre

Approximate commute times to universities:
Dublin City University (DCU): 40 minutes by bus
Trinity College Dublin (TCD): 40 minutes by DART
University College Dublin (UCD): 50-60 minutes by bus
Technological University Dublin (TUD): 45 minutes by DART"
"13 Grangemore Drive, Dublin 13, D13 H9TX",,Ground,2,Single Ensuite,1,1 Ensuite Washroom,€950,,Male,Booked,NA,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,,
"13 Grangemore Drive, Dublin 13, D13 H9TX",,Ground,3,Triple Ensuite,3,1 Ensuite Washroom,€675,,Male,Booked,Booked,Booked,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,,
"13 Grangemore Drive, Dublin 13, D13 H9TX",,Ground,4,Double Ensuite,2,1 Ensuite Washroom,€750,,Female,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,,
"13 Grangemore Drive, Dublin 13, D13 H9TX",,First,5,Double Ensuite,2,1 Ensuite Washroom,€750,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,,
"13 Grangemore Drive, Dublin 13, D13 H9TX",,First,6,Double Ensuite,2,1 Ensuite Washroom,€750,,Female,Available,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,,
"13 Grangemore Drive, Dublin 13, D13 H9TX",,First,7,Double Ensuite,2,1 Ensuite Washroom,€750,,Male,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,,
"13 Grangemore Drive, Dublin 13, D13 H9TX",,First,8,Double Ensuite,2,1 Ensuite Washroom,€750,,Female,Booked,Booked,NA,NA,Yes,"EXC (Add EUR 50 for every bedspace 
if the bills need to be included)""",1 Sept 2026,1 month rent as deposit + First & last month rent,Semester stays & 12 months,,
